Molecule,Formula,Molecule Type,Ei,Alpha,AlphaB,axx,ayy,azz,Dipole,pi_bond,Expt
Bromoform,CHBr3,Other,10.48,11.31,11.660333333333332,13.184,13.183,8.614,0.91,0,130.0
Cyclopentanone,C5H8O,Ring,9.26,8.97,9.164,10.33,9.594,7.568,3.31,1,230.0
Ethyl Acetate(conformer1),C4H8O2,Other,10.01,8.68,8.899333333333333,10.768,8.856,7.074,2.13,1,160.0
1-Butanol,C4H10O,Other,9.99,8.54,8.778,10.36,8.31,7.664,1.59,0,102.0
Chloroform,CHCl3,Chlorated,11.37,8.19,8.393333333333333,9.35,9.349,6.481,1.13,0,50.0
Butanal,C4H8O,Other,9.84,8.05,8.223333333333333,9.563,8.45,6.657,2.77,1,142.0
2-MethylPropionitrile,C4H7N,Other,11.3,8.0,8.135333333333334,9.749,7.825,6.832,4.24,2,274.0
Dimethylcarbonate,C3H6O3,Other,10.3,7.44,7.358,7.707,7.707,6.66,0.46,1,102.0
Ethyl Formate,C3H6O2,Other,10.61,6.88,7.048333333333333,8.699,6.913,5.533,2.24,1,103.0
Methyl Acetate,C3H6O2,Other,10.25,6.82,6.989999999999999,8.386,7.062,5.522,1.96,1,122.0
2-Propanol,C3H8O,Other,10.17,6.77,6.935,7.388,7.043,6.374,1.64,0,87.0
1-Propanol,C3H8O,Other,10.18,6.71,6.9046666666666665,7.937,6.623,6.154,1.69,0,70.0
Acetone,C3H6O,Other,9.7,6.24,6.3950000000000005,7.082,6.985,5.118,3.15,1,173.0
Propanal,C3H6O,Other,9.96,6.22,6.362333333333333,7.034,6.925,5.128,2.84,1,118.0
Propionitrile,C3H5N,Other,11.84,6.19,6.293666666666667,8.085,5.623,5.173,4.21,2,245.0
1-Fluoropropane,C3H7F,Other,11.3,6.09,6.207333333333334,6.943,6.029,5.65,2.07,0,35.0
1-2-Ethanediol,C2H6O2,Other,10.16,5.57,5.730666666666667,6.579,5.566,5.047,2.48,0,70.0
Bromomethane,CH3Br,Other,10.54,5.26,5.3566666666666665,6.787,4.642,4.641,1.99,0,40.0
Methyl Formate,C2H4O2,Other,10.84,5.01,5.313666666666666,7.21,4.798,3.933,1.97,1,65.0
Ethanol,C2H6O,Other,10.43,4.95,5.078,5.625,4.981,4.628,1.72,0,43.0
Acetaldehyde,C2H4O,Other,10.23,4.49,4.603333333333334,5.57,4.658,3.582,2.95,1,88.0
Acetonitrile,C2H3N,Other,12.2,4.39,4.435666666666667,6.077,3.615,3.615,4.1,2,180.0
Chloromethane,CH3Cl,Chlorated,11.22,4.28,4.346,5.432,3.803,3.803,2.06,0,25.0
Methanol,CH4O,Other,10.85,3.13,3.2083333333333335,3.544,3.08,3.001,1.67,0,20.0
Dimethoxymethane,C3H8O2,Other,9.7,7.39,,,,,0.25,0,78.0
2-Butanone,C4H8O,Other,9.52,7.99,,,,,2.99,1,194.0
Propyl Formate,C4H8O2,Other,10.52,8.7,,,,,2.36,1,126.0
2-2-Difluoropropane,C3H6F2,Other,11.42,6.11,,,,,2.5,0,25.0
1-Fluorobutane,C4H9F,Other,10.25,7.9,,,,,2.15,0,70.0
1-Fluorohexane,C6H13F,Other,9.85,11.6,,,,,2.21,0,80.0
1-Fluorononane,C9H19F,Other,9.64,17.22,,,,,2.22,0,145.0
1-Chlorohexane,C6H13Cl,Chlorated,10.29,13.66,,,,,2.53,0,175.0
Dichloromethane,CH2Cl2,Chlorated,11.32,6.353,6.353,8.259,5.730,5.071,2.01,0,32
1-1-Dichloroethylene,C2H2Cl2,Chlorated,9.81,8.0926,8.0926,9.549,9.153,5.576,1.75,1,30
cis-1-2-Dichloroethylene,C2H2Cl2,Chlorated,9.66,8.03,8.03,10.639,7.913,5.566,2.3,1,66
Trichloroethylene,C2HCl3,Chlorated,9.46,10.2,10.2,13.64,10.276,6.698,1.1,1,50
1-Chloropropane,C3H7Cl,Chlorated,10.81,8.211,8.211,10.342,7.367,6.925,2.54,0,98
2-Chloropropane,C3H7Cl,Chlorated,10.79,8.211,8.211,9.469,8.101,7.064,2.57,0,113